URN,folioURN,imgURN,specimenURN,text,Contributer,Date
urn:cite:botcar:catesbyLabels.penLabel76.1,urn:cite:fufolio:CatesbyHS212.023,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_023_0489,urn:cite:botcar:sloane.76,3. Nymphaea alba Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel359.1,urn:cite:fufolio:CatesbyHS212.019,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_019_0491,urn:cite:botcar:sloane.359,3. Pedicularis dissilimis Mscr. 119,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel181.1,urn:cite:fufolio:CatesbyHS232.040,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_040_0621,urn:cite:botcar:sloane.181,3. Serratula paniculata Mscr. 152,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel176.1,urn:cite:fufolio:CatesbyHS212.053,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_053_0458,urn:cite:botcar:sloane.176,3. Serratula scariosa Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel216.1,urn:cite:fufolio:CatesbyHS212.092,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_092_0418,urn:cite:botcar:sloane.216,3. Serratula speciosa Mscr. 153,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel288.1,urn:cite:fufolio:CatesbyHS212.037,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_037_0478,urn:cite:botcar:sloane.288,3. Thapsia trifoliata Linn. Mscr. 63; an Aralia spec.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel286.1,urn:cite:fufolio:CatesbyHS212.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_030_0486,urn:cite:botcar:sloane.286,4 Asclepias glabrata Meyer 57,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel24.1,urn:cite:fufolio:CatesbyHS212.041,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_041_0456,urn:cite:botcar:sloane.24,4 Eryngium foetidum Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel160.1,urn:cite:fufolio:CatesbyHS212.018,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_018_0492,urn:cite:botcar:sloane.160,4 Silene virginica Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel393.1,urn:cite:fufolio:CatesbyHS212.010,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_010_0505,urn:cite:botcar:sloane.393,4. fr. H.S. 7A. 30,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel367.1,urn:cite:fufolio:CatesbyHS232.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_030_0623,urn:cite:botcar:sloane.367,4. Nelia eriocephala Mscr. 134 nov. gen.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel334.1,urn:cite:fufolio:CatesbyHS212.043,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_043_0464,urn:cite:botcar:sloane.334,4. Shoenus glomeratus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel352.1,urn:cite:fufolio:CatesbyHS212.050,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_050_0469,urn:cite:botcar:sloane.352,4. Sida rhombifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel83.1,urn:cite:fufolio:CatesbyHS212.035,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_035_0480,urn:cite:botcar:sloane.83,4. Tusilago integrifolia Mscr. 164,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel132.1,urn:cite:fufolio:CatesbyHS212.034,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_034_0477,urn:cite:botcar:sloane.132,4. Viola angustifolia Mscr. 189,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel259.1,urn:cite:fufolio:CatesbyHS212.050,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_050_0469,urn:cite:botcar:sloane.259,5. Clethra alnifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel232.1,urn:cite:fufolio:CatesbyHS212.060,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_060_0445,urn:cite:botcar:sloane.232,5. Vaccinium clavatum Mscr. 76,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel372.1,urn:cite:fufolio:CatesbyHS212.014,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_014_0498,urn:cite:botcar:sloane.372,Acer rubrum Linn,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel246.1,urn:cite:fufolio:CatesbyHS212.036,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_036_0475,urn:cite:botcar:sloane.246,Allium inodorum Ms.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel242.1,urn:cite:fufolio:CatesbyHS232.065,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_065_0592,urn:cite:botcar:sloane.242,Aruba ovata Mscr 197 nov. gens,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel324.1,urn:cite:fufolio:CatesbyHS232.083,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_083_0572,urn:cite:botcar:sloane.324,Asclepias floridana Mscr. 57,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel273.1,urn:cite:fufolio:CatesbyHS232.122,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_122_0536,urn:cite:botcar:sloane.273,Asclepias nivea Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel387.1,urn:cite:fufolio:CatesbyHS212.008,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_008_0506,urn:cite:botcar:sloane.387,Bidens frondosa Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel239.1,urn:cite:fufolio:CatesbyHS232.093,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_093_0567,urn:cite:botcar:sloane.239,Black Oak Catesby T. 19,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel105.1,urn:cite:fufolio:CatesbyHS232.094,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_094_0560,urn:cite:botcar:sloane.105,Blake Wallnut,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel166.1,urn:cite:fufolio:CatesbyHS232.101,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_101_0553,urn:cite:botcar:sloane.166,Brunnickia cirrhosa Mscr. 96 nov. gen.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel47.1,urn:cite:fufolio:CatesbyHS212.016,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_016_0494,urn:cite:botcar:sloane.47,Calycanthus floridus Linn. Spl. ed. 10 1066,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel82.1,urn:cite:fufolio:CatesbyHS212.031,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_031_0474,urn:cite:botcar:sloane.82,Campanula perfoliata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel388.1,urn:cite:fufolio:CatesbyHS212.007,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_007_0504,urn:cite:botcar:sloane.388,Chironia angularis Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel190.1,urn:cite:fufolio:CatesbyHS212.074,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_074_0434,urn:cite:botcar:sloane.190,Chrysocoma linifolia Mscr. 156,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel192.1,urn:cite:fufolio:CatesbyHS212.006,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_006_0499,urn:cite:botcar:sloane.192,Commelina virginica Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel412.1,urn:cite:fufolio:CatesbyHS212.005,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_005_0503,urn:cite:botcar:sloane.412,Cornus florida Linn. Sp. Pl. 117,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel402.1,urn:cite:fufolio:CatesbyHS212.015,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_015_0496,urn:cite:botcar:sloane.402,Crinos villosus Inscr 69,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel231.1,urn:cite:fufolio:CatesbyHS232.089,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_089_0568,urn:cite:botcar:sloane.231,Dogwood,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel21.1,urn:cite:fufolio:CatesbyHS232.036,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_036_0622,urn:cite:botcar:sloane.21,Fagus pumila Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel409.1,urn:cite:fufolio:CatesbyHS212.035,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_035_0480,urn:cite:botcar:sloane.409,Gnaphalium hirtum Mscr. 160,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel238.1,urn:cite:fufolio:CatesbyHS212.004,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_004_0501,urn:cite:botcar:sloane.238,Hamamelis virginiana Linn. (in pencil: Sp. Pl. 124!),Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel364.1,urn:cite:fufolio:CatesbyHS212.091,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_091_0414,urn:cite:botcar:sloane.364,Hedyglarum volubile Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel262.1,urn:cite:fufolio:CatesbyHS212.013,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_013_0497,urn:cite:botcar:sloane.262,Hypericum Lasianthus Linn. Sp. Pl. 783,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel347.1,urn:cite:fufolio:CatesbyHS232.074,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_074_0580,urn:cite:botcar:sloane.347,Impatiens americana Mscr. 190,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel280.1,urn:cite:fufolio:CatesbyHS232.106,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_106_0546,urn:cite:botcar:sloane.280,Indigofera tinctoria. 1061.1,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel117.1,urn:cite:fufolio:CatesbyHS212.003,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_003_0509,urn:cite:botcar:sloane.117,Juglans alba: Linn. Sp. Pl. 997,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel243.1,urn:cite:fufolio:CatesbyHS212.079,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_079_0432,urn:cite:botcar:sloane.243,Liquidambar styraciflua L.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel389.1,urn:cite:fufolio:CatesbyHS212.080,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_080_0431,urn:cite:botcar:sloane.389,Liriodendron Tulipifera Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel211.1,urn:cite:fufolio:CatesbyHS212.007,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_007_0504,urn:cite:botcar:sloane.211,Lobelia laevigata Mscr 188,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel224.1,urn:cite:fufolio:CatesbyHS212.026,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_026_0487,urn:cite:botcar:sloane.224,Lycopodium alopecuroides Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel73.1,urn:cite:fufolio:CatesbyHS212.021,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_021_0485,urn:cite:botcar:sloane.73,Menispermum canadense Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel35.1,urn:cite:fufolio:CatesbyHS212.006,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_006_0499,urn:cite:botcar:sloane.35,Monarda punctata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel392.1,urn:cite:fufolio:CatesbyHS212.019,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_019_0491,urn:cite:botcar:sloane.392,Pedicularis umbellifera Mscr.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel251.1,urn:cite:fufolio:CatesbyHS212.046,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_047_0470,urn:cite:botcar:sloane.251,Physalis angulata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel161.1,urn:cite:fufolio:CatesbyHS232.136,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_136_0522,urn:cite:botcar:sloane.161,Polypremum procumbens Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel406.1,urn:cite:fufolio:CatesbyHS212.019,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_019_0491,urn:cite:botcar:sloane.406,Pontederia cordata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel151.1,urn:cite:fufolio:CatesbyHS232.067,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_067_0591,urn:cite:botcar:sloane.151,Pontederia cordata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel8.1,urn:cite:fufolio:CatesbyHS232.014,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_014_0642,urn:cite:botcar:sloane.8,Quercus Prinus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel391.1,urn:cite:fufolio:CatesbyHS212.005,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_005_0503,urn:cite:botcar:sloane.391,Quercus Prinus Linn. Sp. Pl. 995,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel268.1,urn:cite:fufolio:CatesbyHS232.088,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_088_0566,urn:cite:botcar:sloane.268,Quercus rubra Linn.; Red Oak,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel131.1,urn:cite:fufolio:CatesbyHS232.039,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_039_0616,urn:cite:botcar:sloane.131,R.H. 183,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel258.1,urn:cite:fufolio:CatesbyHS212.043,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_043_0464,urn:cite:botcar:sloane.258,Rhexia glabrata Mscr. det Lewis 1967 (blue ballpoint pen),Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel75.1,urn:cite:fufolio:CatesbyHS212.021,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_021_0485,urn:cite:botcar:sloane.75,Sarracenia flava Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel396.1,urn:cite:fufolio:CatesbyHS232.082,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_082_0575,urn:cite:botcar:sloane.396,Saururus cernuus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel85.1,urn:cite:fufolio:CatesbyHS212.027,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_027_0483,urn:cite:botcar:sloane.85,Scutellaria laterifolia Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel325.1,urn:cite:fufolio:CatesbyHS232.111,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_111_0542,urn:cite:botcar:sloane.325,Serratula secunda Mscr. 152,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel395.1,urn:cite:fufolio:CatesbyHS212.018,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_018_0492,urn:cite:botcar:sloane.395,Silphium asteriscus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel424.1,urn:cite:fufolio:CatesbyHS212.58b,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_058b_0453,urn:cite:botcar:sloane.424,Sophora perfoliata Mscr. 88,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel202.1,urn:cite:fufolio:CatesbyHS232.072,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_072_0584,urn:cite:botcar:sloane.202,Sophora perfoliata Mscr. 88,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel18.1,urn:cite:fufolio:CatesbyHS212.028,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_028_0482,urn:cite:botcar:sloane.18,Sophora tinctoria Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel207.1,urn:cite:fufolio:CatesbyHS212.029,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_029_0481,urn:cite:botcar:sloane.207,Stachys intermedia Mscr.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel234.1,urn:cite:fufolio:CatesbyHS232.085,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_085_0578,urn:cite:botcar:sloane.234,Taxodium ascendens@ Det. Glynn Church 9.2007,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel420.1,urn:cite:fufolio:CatesbyHS232.096,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_096_0562,urn:cite:botcar:sloane.420,Water Oak Catesby T.20,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel233.1,urn:cite:fufolio:CatesbyHS232.091,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_091_0565,urn:cite:botcar:sloane.233,White Oak,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel55.1,urn:cite:fufolio:CatesbyHS232.098,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_098_0558,urn:cite:botcar:sloane.55,Willow Oak,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage319.1,urn:cite:fufolio:CatesbyHS212.054,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_054_0459,urn:cite:botcar:sloane.319,68.3,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage370.1,urn:cite:fufolio:CatesbyHS212.094,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_094_0408,urn:cite:botcar:sloane.370,206.16,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage424.1,urn:cite:fufolio:CatesbyHS212.58b,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_058b_0453,urn:cite:botcar:sloane.424,465,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage192.1,urn:cite:fufolio:CatesbyHS212.006,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_006_0499,urn:cite:botcar:sloane.192,1 Pluck. 74. f.4. S. 566.8,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage40.1,urn:cite:fufolio:CatesbyHS212.029,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_029_0481,urn:cite:botcar:sloane.40,1 Thalictrum cornutis Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage363.1,urn:cite:fufolio:CatesbyHS212.58b,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_058b_0453,urn:cite:botcar:sloane.363,3   R.H. 208,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage390.1,urn:cite:fufolio:CatesbyHS212.006,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_006_0499,urn:cite:botcar:sloane.390,3 Pluck. T. 101 f.2.  R.S. 242.1.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage145.1,urn:cite:fufolio:CatesbyHS212.053,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_053_0458,urn:cite:botcar:sloane.145,Anomis caroliniana floribus luteis in spicam longissima dispositis; R.S. 468,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage95.1,urn:cite:fufolio:CatesbyHS232.050,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_050_0605,urn:cite:botcar:sloane.95,Catesby Fab. 44. R.S. 520,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage169.1,urn:cite:fufolio:CatesbyHS232.052,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_052_0604,urn:cite:botcar:sloane.169,Catesby i.60 R.H.S. App. 4,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage233.1,urn:cite:fufolio:CatesbyHS232.091,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_091_0565,urn:cite:botcar:sloane.233,Catesby T.21. R.H.S.P. 7,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage172.1,urn:cite:fufolio:CatesbyHS232.052,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_052_0604,urn:cite:botcar:sloane.172,Catesby T.34. R.H. 1417,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage234.1,urn:cite:fufolio:CatesbyHS232.085,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_085_0578,urn:cite:botcar:sloane.234,Cypress; R.H.S.P. 9,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage208.1,urn:cite:fufolio:CatesbyHS212.047,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_047_0470,urn:cite:botcar:sloane.208,Gratiola mariana,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage91.1,urn:cite:fufolio:CatesbyHS212.045,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_045_0454,urn:cite:botcar:sloane.91,Hist. Fam. 1.7.78. f.1 R.H.S. 614.10,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage266.1,urn:cite:fufolio:CatesbyHS212.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_030_0486,urn:cite:botcar:sloane.266,Pl. T. 336 f. 3.; R.S. 538.58 & 535 p. 40.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage66.1,urn:cite:fufolio:CatesbyHS212.017,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_017_0495,urn:cite:botcar:sloane.66,Pl. T. 76 f. 52 B.S. 547.562,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage421.1,urn:cite:fufolio:CatesbyHS212.068,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_068_0449,urn:cite:botcar:sloane.421,Platanus Occid. (on label); R.H. 1707,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penOnPage160.1,urn:cite:fufolio:CatesbyHS212.018,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_018_0492,urn:cite:botcar:sloane.160,Pluck T. 203 f.1. R.H.S. 488 63,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
